PF02091	IPR002310
PF00587	IPR002314
PF01409	IPR002319
PF01322	IPR002321
PF01333	IPR002325
PF02167	IPR002326
PF00941	IPR002346
PF00106	IPR002347
PF00050	IPR002350
PF07648	IPR002350
PF02087	IPR002351
PF00727	IPR002354
PF00879	IPR002366
PF00362	IPR002369
PF01011	IPR002372
PF13360	IPR002372
PF00551	IPR002376
PF00137	IPR002379
PF02174	IPR002404
PF00792	IPR002420
PF00118	IPR002423
PF00116	IPR002429
PF02088	IPR002463
PF02137	IPR002466
PF00930	IPR002469
PF02089	IPR002472
PF00988	IPR002474
PF01471	IPR002477
PF01472	IPR002478
PF01474	IPR002480
PF01475	IPR002481
PF01480	IPR002483
PF01481	IPR002484
PF01484	IPR002486
PF01486	IPR002487
PF01492	IPR002488
PF01493	IPR002489
PF01496	IPR002490
PF01497	IPR002491
PF01498	IPR002492
PF01499	IPR002493
PF01500	IPR002494
PF13885	IPR002494
PF01501	IPR002495
PF01502	IPR002496
PF01504	IPR002498
PF01505	IPR002499
PF01507	IPR002500
PF01509	IPR002501
PF01510	IPR002502
PF01513	IPR002504
PF01515	IPR002505
PF01517	IPR002506
PF01518	IPR002507
PF01520	IPR002508
PF01522	IPR002509
PF01523	IPR002510
PF01524	IPR002511
PF01525	IPR002512
PF01526	IPR002513
PF01527	IPR002514
PF01530	IPR002515
PF01531	IPR002516
PF01533	IPR002517
PF01538	IPR002518
PF01539	IPR002519
PF01540	IPR002520
PF01542	IPR002521
PF01543	IPR002522
PF01544	IPR002523
PF01545	IPR002524
PF01548	IPR002525
PF01552	IPR002527
PF01554	IPR002528
PF01559	IPR002530
PF01560	IPR002531
PF01561	IPR002532
PF01563	IPR002533
PF01567	IPR002534
PF01570	IPR002535
PF01573	IPR002538
PF01575	IPR002539
PF01577	IPR002540
PF01578	IPR002541
PF01579	IPR002542
PF01580	IPR002543
PF01581	IPR002544
PF01584	IPR002545
PF01586	IPR002546
PF01588	IPR002547
PF01589	IPR002548
PF01594	IPR002549
